Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50131136,"Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence",Kate Crawford,"Crawford, Kate",,"=""0300209576""","=""9780300209570""",0,4.02,Yale University Press,Hardcover,288,2020,2020,,2023/01/22,to-read,to-read (#930),to-read,,,,0,0
59808585,"American Caliph: The True Story of a Muslim Mystic, a Hollywood Epic, and the 1977 Siege of Washington, DC",Shahan Mufti,"Mufti, Shahan",,"=""0374208581""","=""9780374208585""",0,4.43,"Farrar, Straus and Giroux",Hardcover,384,2022,2022,,2023/01/22,to-read,to-read (#929),to-read,,,,0,0
62296528,Spare,Prince Harry,"Harry, Prince",,"=""0593593804""","=""9780593593806""",5,4.01,Random House,Hardcover,410,2023,2023,,2023/01/10,"audible, audiobook, biography, nonfiction","audible (#41), audiobook (#214), biography (#31), nonfiction (#86)",read,,,,1,0
41880602,Fleishman Is in Trouble,Taffy Brodesser-Akner,"Brodesser-Akner, Taffy",,"=""0525510877""","=""9780525510871""",0,3.65,Random House,Hardcover,373,2019,2019,,2023/01/19,to-read,to-read (#928),to-read,,,,0,0
60560749,A Man Called Otto,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""166801081X""","=""9781668010815""",0,4.38,Washington Square Press,Paperback,368,2022,2012,,2023/01/18,to-read,to-read (#927),to-read,,,,0,0
59366154,"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath",Bill Browder,"Browder, Bill",,"=""1982153288""","=""9781982153281""",5,4.33,Simon  Schuster,Hardcover,336,2022,2022,2023/01/15,2023/01/02,"audiobook, library, nonfiction, overdrive","audiobook (#213), library (#188), nonfiction (#85), overdrive (#143)",read,,,,1,0
40222509,In the Enemy's House: The Secret Saga of the FBI Agent and the Code Breaker Who Caught the Russian Spies,Howard Blum,"Blum, Howard",,"=""0062458264""","=""9780062458261""",0,4.06,Harper Perennial,Paperback,352,2019,2018,,2023/01/11,to-read,to-read (#926),to-read,,,,0,0
50224049,How to Kill Your Family,Bella Mackie,"Mackie, Bella",,"=""0008365911""","=""9780008365912""",0,3.62,The Borough Press,Hardcover,355,2021,2021,,2023/01/11,to-read,to-read (#925),to-read,,,,0,0
60741772,Please Report Your Bug Here,Josh Riedel,"Riedel, Josh",,"=""1250813794""","=""9781250813794""",0,3.11,Henry Holt and Co.,Hardcover,288,2023,2023,,2023/01/10,to-read,to-read (#924),to-read,,,,0,0
59891634,Smart Brevity: The Power of Saying More with Less,Jim Vandehei,"Vandehei, Jim","Mike Allen, Roy Schwartz","=""1523516976""","=""9781523516971""",0,4.11,Workman Publishing Company,Hardcover,224,2022,,,2023/01/08,to-read,to-read (#923),to-read,,,,0,0
23508175,Fast Policy: Experimental Statecraft at the Thresholds of Neoliberalism,Jamie Peck,"Peck, Jamie",Nik Theodore,"=""0816677301""","=""9780816677306""",0,3.50,Univ Of Minnesota Press,Hardcover,328,2015,2015,,2023/01/08,to-read,to-read (#922),to-read,,,,0,0
22609522,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""147675571X""","=""9781476755717""",5,4.44,Simon  Schuster,Hardcover,380,2015,2015,,2023/01/08,"audiobook, biography, library, nonfiction","audiobook (#212), biography (#30), library (#187), nonfiction (#84)",read,,,,1,0
55782639,"Set Boundaries, Find Peace: A Guide to Reclaiming Yourself",Nedra Glover Tawwab,"Tawwab, Nedra Glover",,"=""0593192109""","=""9780593192108""",0,4.32,Tarcherperigee,ebook,282,2021,2021,,2023/01/04,to-read,to-read (#921),to-read,,,,0,0
59627738,Good Inside: A Guide to Becoming the Parent You Want to Be,Becky   Kennedy,"Kennedy, Becky",,"=""0063159481""","=""9780063159488""",0,4.63,Harper Wave,Hardcover,336,2022,,,2023/01/02,to-read,to-read (#920),to-read,,,,0,0
202032,"Fair Land, Fair Land (The Big Sky, #3)",A.B. Guthrie Jr.,"Jr., A.B. Guthrie",,"=""0395755190""","=""9780395755198""",0,4.05,Mariner Books,Paperback,272,1995,1982,,2023/01/02,to-read,to-read (#919),to-read,,,,0,0
202033,"The Way West (The Big Sky, #2)",A.B. Guthrie Jr.,"Jr., A.B. Guthrie",,"=""0618154620""","=""9780618154623""",0,3.96,Mariner Books,Paperback,352,2002,1952,,2023/01/02,to-read,to-read (#918),to-read,,,,0,0
202035,"The Big Sky (The Big Sky, #1)",A.B. Guthrie Jr.,"Jr., A.B. Guthrie",,"=""0618154639""","=""9780618154630""",0,4.01,Mariner Books,Paperback,386,2002,1947,,2023/01/02,to-read,to-read (#917),to-read,,,,0,0
39927096,"Less (Arthur Less, #1)",Andrew Sean Greer,"Greer, Andrew Sean",,"=""""","=""""",0,3.65,Lee Boudreaux Books,Kindle Edition,273,2017,2017,,2023/01/02,to-read,to-read (#916),to-read,,,,0,0
57356641,The Family Roe: An American Story,Joshua Prager,"Prager, Joshua",,"=""0393247716""","=""9780393247718""",0,4.14,W. W. Norton  Company,Hardcover,672,2021,2021,,2023/01/01,to-read,to-read (#915),to-read,,,,0,0
58690308,Book Lovers,Emily Henry,"Henry, Emily",,"=""""","=""""",0,4.20,Berkley,Hardcover,377,2022,2022,,2023/01/01,to-read,to-read (#914),to-read,,,,0,0
27774752,Self-Reg: How to Help Your Child (and You) Break the Stress Cycle and Successfully Engage with Life,Stuart Shanker,"Shanker, Stuart",,"=""1594206090""","=""9781594206092""",0,4.17,Penguin Press,Hardcover,320,2016,,,2023/01/01,to-read,to-read (#913),to-read,,,,0,0
13542640,"Peaceful Parent, Happy Kids: How to Stop Yelling and Start Connecting",Laura Markham,"Markham, Laura",,"=""0399160280""","=""9780399160288""",0,4.23,Perigee,Paperback,276,2012,2012,,2023/01/01,to-read,to-read (#912),to-read,,,,0,0
40873423,No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,"Siegel, Daniel J.",Tina Payne Bryson,"=""""","=""""",0,4.26,Bantam,Kindle Edition,290,2014,2014,,2023/01/01,to-read,to-read (#911),to-read,,,,0,0
10353369,"The Whole-Brain Child: 12 Revolutionary Strategies to Nurture Your Child's Developing Mind, Survive Everyday Parenting Struggles, and Help Your Family Thrive",Daniel J. Siegel,"Siegel, Daniel J.",Tina Payne Bryson,"=""0553807919""","=""9780553807912""",0,4.26,Delacorte Press,Hardcover,192,2011,2011,,2023/01/01,to-read,to-read (#910),to-read,,,,0,0
111209,Unconditional Parenting: Moving from Rewards and Punishments to Love and Reason,Alfie Kohn,"Kohn, Alfie",,"=""0743487486""","=""9780743487481""",0,4.16,Atria Books,Paperback,272,2006,2005,,2023/01/01,to-read,to-read (#909),to-read,,,,0,0
35219607,The Art of Loving,Erich Fromm,"Fromm, Erich",,"=""""","=""""",0,4.01,Open Road Media,Kindle Edition,117,2013,1956,,2023/01/01,to-read,to-read (#908),to-read,,,,0,0
60194737,Pandemic Politics: The Deadly Toll of Partisanship in the Age of Covid,Shana Kushner Gadarian,"Gadarian, Shana Kushner","Sara Wallace Goodman, Thomas B Pepinsky","=""0691218994""","=""9780691218991""",0,4.00,Princeton University Press,Hardcover,400,2022,,,2023/01/01,to-read,to-read (#907),to-read,,,,0,0
59723790,The First to Die at the End,Adam Silvera,"Silvera, Adam",,"=""0063240807""","=""9780063240803""",4,4.03,HarperCollins,Hardcover,560,2022,2022,,2022/12/31,"audiobook, fiction, library, overdrive","audiobook (#211), fiction (#24), library (#186), overdrive (#142)",read,,,,1,0
56269278,The Trees,Percival Everett,"Everett, Percival",,"=""164445064X""","=""9781644450642""",0,4.12,Graywolf Press,Paperback,309,2021,2021,,2022/12/29,to-read,to-read (#906),to-read,,,,0,0
60824801,The Firekeeper’s Daughter,Angeline Boulley,"Boulley, Angeline",,"=""""","=""9871250766564""",0,4.36,Henry Holt and Company,Hardcover,488,2031,2021,,2022/12/29,to-read,to-read (#905),to-read,,,,0,0
61167317,Sideways: The City Google Couldn't Buy,Josh O'Kane,"O'Kane, Josh",,"=""""","=""""",0,4.12,,Kindle Edition,,2022,,,2022/12/27,to-read,to-read (#904),to-read,,,,0,0
59894088,Queer Spaces: An Atlas of LGBTQ+ Places and Stories,Adam Nathaniel Furman,"Furman, Adam Nathaniel",Joshua Mardell,"=""1914124219""","=""9781914124211""",0,4.29,Riba Publishing,Hardcover,240,2022,,,2022/12/27,to-read,to-read (#903),to-read,,,,0,0
58437576,The Fight to Save the Town: Reimagining Discarded America,Michelle Wilde Anderson,"Anderson, Michelle Wilde",,"=""1501195980""","=""9781501195983""",0,4.13,Avid Reader Press / Simon  Schuster,Hardcover,368,2022,,,2022/12/27,to-read,to-read (#902),to-read,,,,0,0
58532171,Meet Me by the Fountain: An Inside History of the Mall,Alexandra Lange,"Lange, Alexandra",,"=""1635576024""","=""9781635576023""",0,3.61,Bloomsbury Publishing,Hardcover,320,2022,2022,,2022/12/27,to-read,to-read (#901),to-read,,,,0,0
51579308,Healthy Buildings: How Indoor Spaces Drive Performance and Productivity,Joseph G. Allen,"Allen, Joseph G.",John D. Macomber,"=""0674237978""","=""9780674237971""",0,4.05,Harvard University Press,Hardcover,304,2020,,,2022/12/27,to-read,to-read (#900),to-read,,,,0,0
63108380,The Office of Good Intentions. Human(s) Work,Florian Idenburg,"Idenburg, Florian","LeeAnn Suen, Iwan Baan","=""3836574365""","=""9783836574365""",0,5.00,,Paperback,,2022,,,2022/12/27,to-read,to-read (#899),to-read,,,,0,0
13538794,"Walkable City: How Downtown Can Save America, One Step at a Time",Jeff Speck,"Speck, Jeff",,"=""0374285810""","=""9780374285814""",0,4.31,"Farrar, Straus and Giroux",Hardcover,312,2012,2012,,2022/12/27,to-read,to-read (#898),to-read,,,,0,0
64296487,Désirée van Hoek - Notes on Downtown – Los Angeles 2007-2022,Desiree Van Hoek,"Hoek, Desiree Van",,"=""9082414929""","=""9789082414929""",0,0.0,,Paperback,,2022,,,2022/12/27,to-read,to-read (#897),to-read,,,,0,0
60524224,The Intimate City: Walking New York,Michael Kimmelman,"Kimmelman, Michael",,"=""0593298411""","=""9780593298411""",0,4.10,Penguin Press,Hardcover,272,2022,,,2022/12/27,to-read,to-read (#896),to-read,,,,0,0
57691679,Showroom City: Real Estate and Resistance in the Furniture Capital of the World,John Joe Schlichtman,"Schlichtman, John Joe",,"=""0816699313""","=""9780816699315""",0,4.50,Univ Of Minnesota Press,Hardcover,384,2022,,,2022/12/27,to-read,to-read (#895),to-read,,,,0,0
58784144,The Accidental Ecosystem: People and Wildlife in American Cities,Peter S. Alagona,"Alagona, Peter S.",,"=""0520386310""","=""9780520386310""",0,4.31,University of California Press,Hardcover,296,2022,,,2022/12/27,to-read,to-read (#894),to-read,,,,0,0
58684385,The Quarantine Atlas: Mapping Global Life Under COVID-19,Laura  Bliss,"Bliss, Laura",,"=""0762478128""","=""9780762478125""",0,4.08,Black Dog  Leventhal,Hardcover,224,2022,,,2022/12/27,to-read,to-read (#893),to-read,,,,0,0
59937248,Sewer,Jessica Leigh Hester,"Hester, Jessica Leigh","Christopher Schaberg, Ian Bogost","=""150137950X""","=""9781501379505""",0,4.39,Bloomsbury Academic,Paperback,200,2022,,,2022/12/27,to-read,to-read (#892),to-read,,,,0,0
60675835,"Red Hot City: Housing, Race, and Exclusion in Twenty-First-Century Atlanta",Dan Immergluck,"Immergluck, Dan",,"=""0520387643""","=""9780520387645""",0,4.14,University of California Press,Paperback,342,2022,,,2022/12/27,to-read,to-read (#891),to-read,,,,0,0
58733693,Remarkably Bright Creatures,Shelby Van Pelt,"Pelt, Shelby Van",,"=""0063204150""","=""9780063204157""",0,4.46,Ecco,Hardcover,368,2022,2022,,2022/12/27,to-read,to-read (#890),to-read,,,,0,0
58783802,When Women Were Dragons,Kelly Barnhill,"Barnhill, Kelly",,"=""0385548222""","=""9780385548229""",0,3.95,Doubleday Books,Hardcover,352,2022,2022,,2022/12/27,to-read,to-read (#889),to-read,,,,0,0
55994372,The Paper Palace,Miranda Cowley Heller,"Heller, Miranda Cowley",,"=""""","=""""",0,3.85,Riverhead Books,Hardcover,400,2021,2021,,2022/12/27,to-read,to-read (#888),to-read,,,,0,0
55964195,Hell of a Book,Jason Mott,"Mott, Jason",,"=""059333096X""","=""9780593330968""",0,4.06,Dutton,Hardcover,323,2021,2021,,2022/12/27,to-read,to-read (#887),to-read,,,,0,0
59696349,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,"=""1787634116""","=""9781787634114""",0,4.37,Bantam Press,Paperback,416,2022,,,2022/12/27,to-read,to-read (#886),to-read,,,,0,0
53019828,The Imposter Cure: How to stop feeling like a fraud and escape the mind-trap of imposter syndrome,Jessamy Hibberd,"Hibberd, Jessamy",,"=""""","=""""",0,3.95,Hachette,Kindle Edition,288,2019,2019,,2022/12/26,to-read,to-read (#885),to-read,,,,0,0
39074550,Humble Pi: A Comedy of Maths Errors,Matt    Parker,"Parker, Matt",,"=""0241360196""","=""9780241360194""",0,4.12,Allen Lane,Paperback,314,2019,2019,,2022/12/26,to-read,to-read (#884),to-read,,,,0,0
41544285,"Data Driven Business Transformation: How to Disrupt, Innovate and Stay Ahead of the Competition",Peter                  Jackson,"Jackson, Peter",Caroline Carruthers,"=""1119543150""","=""9781119543152""",0,3.62,Wiley,Hardcover,288,2019,,,2022/12/26,to-read,to-read (#883),to-read,,,,0,0
61764134,Data Juice: 101 Stories of How Organizations Are Squeezing Value from Available Data Assets,Doug B. Laney,"Laney, Doug B.",,"=""""","=""""",0,3.67,,Kindle Edition,,2022,,,2022/12/26,to-read,to-read (#882),to-read,,,,0,0
55995841,Telling Your Data Story: Data Storytelling for Data Management,Scott Taylor,"Taylor, Scott",,"=""1634628950""","=""9781634628952""",0,3.97,Technics Publications,Paperback,196,2020,,,2022/12/26,to-read,to-read (#881),to-read,,,,0,0
37670743,The Chief Data Officer's Playbook,Caroline Carruthers,"Carruthers, Caroline",Peter                  Jackson,"=""1783302577""","=""9781783302574""",0,4.09,Facet Publishing,Paperback,208,2017,,,2022/12/26,to-read,to-read (#880),to-read,,,,0,0
63881963,Colorwise,Kate Strachnyi,"Strachnyi, Kate",,"=""1492097802""","=""9781492097808""",0,4.38,O'Reilly Media,ebook,168,2022,,,2022/12/26,to-read,to-read (#879),to-read,,,,0,0
52105688,"The Jobs To Be Done Playbook: Align Your Markets, Organization, and Strategy Around Customer Needs",Jim Kalbach,"Kalbach, Jim","Micahel Tanamachi, Michael Schrage","=""""","=""""",0,4.11,Two Waves Books,Kindle Edition,323,2020,,,2022/12/24,to-read,to-read (#878),to-read,,,,0,0
32809558,Jobs to be Done: Theory to Practice,Anthony W. Ulwick,"Ulwick, Anthony W.",,"=""""","=""""",0,3.74,IDEA BITE PRESS,Kindle Edition,160,2016,2016,,2022/12/24,to-read,to-read (#877),to-read,,,,0,0
30212651,Jobs to Be Done: A Roadmap for Customer-Centered Innovation,Stephen Wunker,"Wunker, Stephen","Jessica Wattman, David Farber","=""0814438032""","=""9780814438039""",0,3.54,AMACOM,Hardcover,224,2016,,,2022/12/24,to-read,to-read (#876),to-read,,,,0,0
24382154,The Jobs-to-be-Done Handbook: Practical techniques for improving your application of Jobs-to-be-Done,Chris Spiek,"Spiek, Chris",Bob Moesta,"=""1499339232""","=""9781499339239""",0,3.70,CreateSpace Independent Publishing Platform,Paperback,66,2014,2014,,2022/12/24,to-read,to-read (#875),to-read,,,,0,0
24811910,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""""","=""""",0,4.44,Simon & Schuster,Kindle Edition,417,2015,2015,,2022/12/24,to-read,to-read (#874),to-read,,,,0,0
33116904,"The Pain Handbook: A non-surgical way to managing back, neck and knee pain",Rajat Chauhan,"Chauhan, Rajat",,"=""""","=""""",0,4.17,Penguin,Kindle Edition,273,2016,,,2022/12/24,to-read,to-read (#873),to-read,,,,0,0
61243855,Movemint Medicine: Your Journey To Peak Health,Rajat Chauhan,"Chauhan, Rajat",Darren Player,"=""""","=""""",0,2.67,,Kindle Edition,,2022,,,2022/12/24,to-read,to-read (#872),to-read,,,,0,0
33229792,"80,000 Hours: Find a fulfilling career that does good",Benjamin Todd,"Todd, Benjamin",,"=""""","=""""",0,4.04,,Kindle Edition,343,2016,2016,,2022/12/24,to-read,to-read (#871),to-read,,,,0,0
55825273,The Comfort Book,Matt Haig,"Haig, Matt",,"=""0143136666""","=""9780143136668""",0,4.10,Penguin Life,Hardcover,272,2021,2021,,2022/12/24,to-read,to-read (#870),to-read,,,,0,0
43708884,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,"=""1529105102""","=""9781529105100""",0,4.56,Ebury Press,Hardcover,128,2019,2019,,2022/12/24,to-read,to-read (#869),to-read,,,,0,0
26452130,Dare: The New Way to End Anxiety and Stop Panic Attacks Fast,Barry McDonagh,"McDonagh, Barry",,"=""""","=""""",0,4.26,BMD Publishing,Kindle Edition,244,2015,2015,,2022/12/24,to-read,to-read (#868),to-read,,,,0,0
33977140,"Don't Feed the Monkey Mind: How to Stop the Cycle of Anxiety, Fear, and Worry",Jennifer Shannon,"Shannon, Jennifer",,"=""""","=""9781626255067""",0,4.11,New Harbinger Publications,Paperback,200,2017,2017,,2022/12/24,to-read,to-read (#867),to-read,,,,0,0
58100575,"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",Arthur C. Brooks,"Brooks, Arthur C.",,"=""""","=""""",0,3.94,,Kindle Edition,,2022,,,2022/12/24,to-read,to-read (#866),to-read,,,,0,0
20696006,Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Gawande, Atul",,"=""0805095152""","=""9780805095159""",0,4.48,Metropolitan Books,Hardcover,282,2014,2014,,2022/12/24,to-read,to-read (#865),to-read,,,,0,0
2477223,Managing Oneself,Peter F. Drucker,"Drucker, Peter F.",,"=""142212312X""","=""9781422123126""",0,3.98,Harvard Business Review Press,Paperback,72,2008,2007,,2022/12/24,to-read,to-read (#864),to-read,,,,0,0
10631,Sam Walton: Made In America,Sam Walton,"Walton, Sam",John Huey,"=""0553562835""","=""9780553562835""",0,4.12,Bantam,Paperback,346,1993,,,2022/12/24,to-read,to-read (#863),to-read,,,,0,0
6732019,Rework,Jason Fried,"Fried, Jason",David Heinemeier Hansson,"=""0307463745""","=""9780307463746""",0,3.97,Crown Business,Hardcover,279,2010,2010,,2022/12/24,to-read,to-read (#862),to-read,,,,0,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",0,4.30,Random House Large Print Publishing,Paperback,464,2020,2020,,2022/12/24,to-read,to-read (#861),to-read,,,,0,0
6659874,Behind the Cloud: The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company-And Revolutionized an Industry,Marc Benioff,"Benioff, Marc",Carlye Adler,"=""0470521163""","=""9780470521168""",0,3.79,Wiley-Blackwell,Hardcover,304,2009,2009,,2022/12/24,to-read,to-read (#860),to-read,,,,0,0
25663600,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,Jim Koch,"Koch, Jim",,"=""1250070503""","=""9781250070500""",0,4.26,Flatiron Books,Hardcover,272,2016,2016,,2022/12/24,to-read,to-read (#859),to-read,,,,0,0
9151181,Onward: How Starbucks Fought for Its Life without Losing Its Soul,Howard Schultz,"Schultz, Howard",Joanne Gordon,"=""1605292885""","=""9781605292885""",0,3.85,Rodale Books,Hardcover,350,2011,2007,,2022/12/24,to-read,to-read (#858),to-read,,,,0,0
52744975,Afterlives,Abdulrazak Gurnah,"Gurnah, Abdulrazak",,"=""1526615851""","=""9781526615855""",0,3.83,Bloomsbury,Hardcover,288,2020,2020,,2022/12/24,to-read,to-read (#857),to-read,,,,0,0
14435241,Black Box,Jennifer Egan,"Egan, Jennifer",Brendan Monroe,"=""""","=""""",0,3.79,newyorker.com,ebook,50,2012,2012,,2022/12/24,to-read,to-read (#856),to-read,,,,0,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",0,3.69,Knopf,Hardcover,274,2010,2010,,2022/12/24,to-read,to-read (#855),to-read,,,,0,0
58437521,The Candy House,Jennifer Egan,"Egan, Jennifer",,"=""1476716765""","=""9781476716763""",0,3.70,Scribner,Hardcover,352,2022,2022,,2022/12/24,to-read,to-read (#854),to-read,,,,0,0
60471573,Liberation Day: Stories,George Saunders,"Saunders, George",,"=""0525509593""","=""9780525509592""",0,4.03,Random House,Hardcover,256,2022,2022,,2022/12/24,to-read,to-read (#853),to-read,,,,0,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",0,4.50,Random House,Hardcover,464,2022,2022,,2022/12/24,to-read,to-read (#852),to-read,,,,0,0
59069071,Ducks: Two Years in the Oil Sands,Kate Beaton,"Beaton, Kate",,"=""1770462899""","=""9781770462892""",0,4.49,Drawn and Quarterly,Hardcover,448,2022,2022,,2022/12/24,to-read,to-read (#851),to-read,,,,0,0
57926137,Black Cake,Charmaine Wilkerson,"Wilkerson, Charmaine",,"=""""","=""""",0,4.14,Ballantine Books,Hardcover,385,2022,2022,,2022/12/24,to-read,to-read (#850),to-read,,,,0,0
57846320,The School for Good Mothers,Jessamine Chan,"Chan, Jessamine",,"=""""","=""""",0,3.56,Simon & Schuster,Hardcover,336,2022,2022,,2022/12/24,to-read,to-read (#849),to-read,,,,0,0
55276620,South to America: A Journey Below the Mason Dixon to Understand the Soul of a Nation,Imani Perry,"Perry, Imani",,"=""0062977407""","=""9780062977403""",0,4.02,Ecco,Hardcover,410,2022,2022,,2022/12/24,to-read,to-read (#848),to-read,,,,0,0
59900679,The Furrows,Namwali Serpell,"Serpell, Namwali",,"=""059344891X""","=""9780593448915""",0,3.29,Hogarth Press,Hardcover,288,2022,2022,,2022/12/24,to-read,to-read (#847),to-read,,,,0,0
60468246,The Revolutionary: Samuel Adams,Stacy Schiff,"Schiff, Stacy",,"=""0316441112""","=""9780316441117""",0,3.77,"Little, Brown and Company",Hardcover,432,2022,2022,,2022/12/24,to-read,to-read (#846),to-read,,,,0,0
58210933,Trust,Hernan Diaz,"Diaz, Hernan",,"=""0593420314""","=""9780593420317""",0,3.88,Riverhead Books,Hardcover,416,2022,2022,,2022/12/24,to-read,to-read (#845),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.13,Knopf,Hardcover,272,2022,2022,,2022/12/24,to-read,to-read (#844),to-read,,,,0,0
61355265,The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,"Obama, Michelle",,"=""0593237463""","=""9780593237465""",0,4.31,Crown,Hardcover,319,2022,2022,,2022/12/24,to-read,to-read (#843),to-read,,,,0,0
43821581,The Only Plane in the Sky: An Oral History of 9/11,Garrett M. Graff,"Graff, Garrett M.",,"=""""","=""""",5,4.72,Simon & Schuster Audio ,Audiobook,16,2019,2019,2020/02/25,2019/11/28,"audiobook, library, nonfiction, overdrive","audiobook (#107), library (#113), nonfiction (#9), overdrive (#82)",read,The broad cast that voices this audiobook makes it worthwhile to listen to rather than read in a physical copy. It is heartbreaking from beginning to end and all should read/listen.,,,2,0
35525995,"Attack of the 50 Foot Blockchain: Bitcoin, Blockchain, Ethereum & Smart Contracts",David    Gerard,"Gerard, David",,"=""""","=""""",0,3.97,,Kindle Edition,182,2017,2017,,2022/12/22,to-read,to-read (#842),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0593321200""","=""9780593321201""",5,4.28,Knopf,Hardcover,416,2022,2022,,2022/12/05,"audible, audiobook, fiction","audible (#40), audiobook (#210), fiction (#23)",read,,,,1,0
60321434,"Flight Risk (The Booking Agents, #2)",Cherie Priest,"Priest, Cherie",,"=""1982168927""","=""9781982168926""",0,3.79,Atria Books,Hardcover,313,2022,2022,,2022/12/03,to-read,to-read (#841),to-read,,,,0,0
